query,match,kingdom,phylum,class,order,family,genus,species
EUSF00551,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01695,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01253,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00542,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00566,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF00729,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01521,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01522,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01262,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01036,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01225,Stemphylium_herbarum|DQ491516|SH387143.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_herbarum
EUSF01323,Pezizales_sp|HQ602677|SH194173.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,Pezizales_sp
EUSF00661,Pezizales_sp|HQ602677|SH194173.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,Pezizales_sp
EUSF01118,Pezizales_sp|HQ602677|SH194173.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,Pezizales_sp
EUSF00546,Pezizales_sp|HQ602677|SH194173.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,Pezizales_sp
EUSF00653,Pezizales_sp|HQ602677|SH194173.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,unidentified,unidentified,Pezizales_sp
EUSF00876,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00866,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00847,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00840,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00777,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00771,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF01061,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF00773,Septoria_cretae|KF251233|SH406107.07FU|refs,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,Septoria_cretae
EUSF01689,Hortaea_thailandica|AY559364|SH214185.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hortaea,Hortaea_thailandica
EUSF01687,Rosellinia_subiculata|JQ761857|SH205801.07FU|reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Rosellinia_subiculata
EUSF01269,Rosellinia_subiculata|JQ761857|SH205801.07FU|reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Rosellinia_subiculata
EUSF01690,Rosellinia_subiculata|JQ761857|SH205801.07FU|reps,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,Rosellinia_subiculata
EUSF01686,Daldinia_loculata|AF176962|SH212983.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,Daldinia_loculata
EUSF00879,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF00673,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF00513,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF01096,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF00790,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF00733,Diaporthe_foeniculina|KC843295|SH090425.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_foeniculina
EUSF01943,Marssonina_sp|KU508807|SH211232.07FU|reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Marssonina,Marssonina_sp
EUSF00898,Peziza_varia|UDB028414|SH188463.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_varia
EUSF01967,Mycosphaerellaceae_sp|GQ479613|SH206770.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,unidentified,Mycosphaerellaceae_sp
EUSF01973,Mycosphaerellaceae_sp|GQ479613|SH206770.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,unidentified,Mycosphaerellaceae_sp
EUSF01883,Mycosphaerellaceae_sp|GQ479613|SH206770.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,unidentified,Mycosphaerellaceae_sp
EUSF01962,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01951,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01961,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01861,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01882,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01921,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01950,Aspergillus_tubingensis|EF661193|SH397101.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_tubingensis
EUSF01007,Preussia_africana|JN418768|SH184194.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_africana
EUSF00970,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00965,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00962,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00946,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00943,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00936,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00925,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00909,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00820,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00675,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00520,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00939,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00932,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00829,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00816,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00680,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00668,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00662,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00645,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00637,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00617,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01157,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01087,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01046,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00994,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00993,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00782,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00615,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01015,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00631,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00619,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00607,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01534,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01008,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00766,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00750,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01043,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01042,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01018,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01536,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00760,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01210,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01062,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00724,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00921,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01538,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00603,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00618,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00767,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01351,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00981,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00687,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01548,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01219,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00973,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01621,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01048,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01065,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01056,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00791,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00959,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00974,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01121,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01387,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01527,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01701,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00623,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01058,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01081,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01212,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01051,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00918,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00633,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF00783,Nemania_sp|AY465458|SH405223.07FU|refs,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_sp
EUSF01518,Capnodiales_sp|KF309975|SH188205.07FU|reps,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,Capnodiales_sp
EUSF01440,Geopyxis_carbonaria|HM123032|SH216567.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria
EUSF00991,Geopyxis_carbonaria|HM123032|SH216567.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria
EUSF01207,Geopyxis_carbonaria|HM123032|SH216567.07FU|reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,Geopyxis_carbonaria
EUSF01204,Penicillium_paczoskii|KC411706|SH407684.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_paczoskii
EUSF01200,Penicillium_paczoskii|KC411706|SH407684.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_paczoskii
EUSF01191,Penicillium_paczoskii|KC411706|SH407684.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_paczoskii
EUSF01190,Penicillium_paczoskii|KC411706|SH407684.07FU|refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_paczoskii
